SKU,Name,"Selling Price","Wholesale Price","Cost Price",Quantity,Description,Barcode,Category,Brand,Warehouse,Vendor,"Alert Qty",Unit,Status,Weight,"Retail Margin","Wholesale Margin","Sample Code",Variations
TEST001,"Test Product",0.00,0.00,0.00,0,,,,,"Main Warehouse","Falcon Stationary PVT LTD",5,pcs,active,,0.00,0.00,,[]
AIBM,"Marshal Instrument Box",276.00,253.00,0.00,0,,,,,,,5,pcs,active,0.23,0.00,0.00,,[]
AIBT,"TipTop Instrument Box",480.00,440.00,0.00,0,,,,,,,5,pcs,inactive,0.51,0.00,0.00,,[]
AMG100,"Magnifying Glass 100mm",252.00,231.00,0.00,0,,,,,,,5,pcs,active,0.25,0.00,0.00,,[]
AMG50,"Magnifying Glass 50mm",108.00,99.00,0.00,0,,,,,,,5,pcs,active,0.4,0.00,0.00,,[]
AMG60,"Magnifying Glass 60mm",132.00,121.00,0.00,0,,,,,,,5,pcs,active,0.37,0.00,0.00,,[]
AMG75,"Magnifying Glass 75mm",192.00,176.00,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
AMG90,"Magnifying Glass 90mm",360.00,330.00,0.00,0,,,,,,,5,pcs,active,0.32,0.00,0.00,,[]
AMS4,"Maths Set 4Pcs",132.00,121.00,0.00,0,,,,,,,5,pcs,active,0.06,0.00,0.00,,[]
APPAS13,"Pastal Pentium 13Pcs",200.40,183.70,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
APPAS24,"Pastal Pentium 24Pcs",357.60,327.80,0.00,0,,,,,,,5,pcs,active,0.1,0.00,0.00,,[]
APPAS6,"Pastal Pentium 6Pcs",108.00,100.00,80.00,110,,,"Arts and Crafts",,"Main Warehouse","Falcon Stationary PVT LTD",5,pcs,active,0.03,35.00,25.00,,[]
APPC18,"Cosmo Colour Pencil 18Pcs",594.00,544.50,0.00,0,,,,,,,5,pcs,active,0.18,0.00,0.00,,[]
APPC36,"Cosmo Colour Pencil 36Pcs",1428.00,1.00,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
APPC48,"Cosmo Colour Pencil 48Pcs",1908.00,1.00,0.00,0,,,"Arts and Crafts",,,"Falcon Stationary PVT LTD",5,pcs,active,0.38,0.00,0.00,,[]
APPC6,"Cosmo Colour Pencil 6Pcs",180.00,165.00,0.00,0,,,,,,,5,pcs,active,0.05,0.00,0.00,,[]
APPC72,"Cosmo Colour Pencil 72Pcs",2748.00,2.00,0.00,0,,,,,,,5,pcs,inactive,0.33,0.00,0.00,,[]
APPECP12,"Erasable Colour Pencil 12Pcs",588.00,539.00,0.00,0,,,,,,,5,pcs,inactive,0.08,0.00,0.00,,[]
APPL12AC,"Acrylic Platignum 12Pcs",696.00,639.10,0.00,0,,,,,,,5,pcs,active,0.09,0.00,0.00,,[]
APPL24AC,"Acrylic Platignum 24Pcs",1308.00,1199.00,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
APPL6,"Platignum 6Pcs",270.00,247.50,0.00,0,,,,,,,5,pcs,active,0.03,0.00,0.00,,[]
APPL6Y,"Platignum Yalong 6 Colours",264.00,242.00,0.00,0,,,,,,,5,pcs,active,0.1,0.00,0.00,,[]
APPDT12,"DOMS Color Pencil Tin 12Pcs",480.00,440.00,0.00,0,,,,,,,5,pcs,active,0.1,0.00,0.00,,[]
APWCC12,"Water Colour Cake 12Pcs",320.00,258.50,0.00,0,,,,,,,5,pcs,active,0.32,0.00,0.00,,[]
APWCT6,"Water Color Tube 6Ml",270.00,247.50,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
APWCTVN,"Vneed Water Colour Tube 6ml",450.00,412.50,0.00,0,,,,,,,5,pcs,active,0.22,0.00,0.00,,[]
AST1,"Stencil 1Pcs",96.00,88.00,0.00,0,,,,,,,5,pcs,active,0.5,0.00,0.00,,[]
AST2,"Stencil 2Pcs",198.00,181.50,0.00,0,,,,,,,5,pcs,active,0.41,0.00,0.00,,[]
BCBFCD,"Document Bag",0.00,297.00,0.00,0,,,,,,,5,pcs,active,0.51,0.00,0.00,,"[{""id"":19801,""attribute"":""Red"",""sku"":""BCBFCDR"",""cost_price"":0,""price"":324,""wholesale_price"":0},{""id"":19800,""attribute"":""Green"",""sku"":""BCBFCDG"",""cost_price"":0,""price"":365,""wholesale_price"":0}]"
BCBFCN,"Name Clear Bag",0.00,137.50,0.00,0,,,,,,,5,pcs,active,0.66,0.00,0.00,,"[{""id"":19805,""attribute"":""Green"",""sku"":""BCBFCNG"",""cost_price"":0,""price"":150,""wholesale_price"":0},{""id"":19804,""attribute"":""Pink"",""sku"":""BCBFCNP"",""cost_price"":0,""price"":170,""wholesale_price"":0}]"
BCBFCP803,"Plain Clear Bag",0.00,93.50,0.00,0,,,,,,,5,pcs,active,0.84,0.00,0.00,,"[{""id"":19810,""attribute"":""Orange"",""sku"":""BCBFCP803"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19809,""attribute"":""Green"",""sku"":""BCBFCP803"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19808,""attribute"":""Pink"",""sku"":""BCBFCP803"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19807,""attribute"":""Blue"",""sku"":""BCBFCP803"",""cost_price"":0,""price"":115,""wholesale_price"":0}]"
BCB,"My Clear Bag",0.00,0.00,0.00,0,,,,,,,5,pcs,active,0.88,0.00,0.00,,"[{""id"":19787,""attribute"":""Yellow"",""sku"":""BCBFCY"",""cost_price"":0,""price"":60,""wholesale_price"":0},{""id"":19786,""attribute"":""Red"",""sku"":""BCBR"",""cost_price"":0,""price"":60,""wholesale_price"":0},{""id"":19785,""attribute"":""Green"",""sku"":""BCBG"",""cost_price"":0,""price"":60,""wholesale_price"":0},{""id"":19784,""attribute"":""White"",""sku"":""BCBW"",""cost_price"":0,""price"":60,""wholesale_price"":0},{""id"":19783,""attribute"":""Blue"",""sku"":""BCBB"",""cost_price"":0,""price"":60,""wholesale_price"":0}]"
BNC,"Number Candles No 0-9",33.60,30.80,0.00,0,,,,,,,5,pcs,active,0.35,0.00,0.00,,[]
BOBCB5,"Book Cover B5",300.00,275.00,0.00,0,,,,,,,5,pcs,active,0.69,0.00,0.00,,[]
BOBCCR,"Book Cover CR",360.00,330.00,0.00,0,,,,,,,5,pcs,active,0.32,0.00,0.00,,[]
BOBCP,"Polyethene Roll",0.00,0.00,0.00,0,,,,,,,5,pcs,active,0.23,0.00,0.00,,"[{""id"":19223,""attribute"":""5 Yard"",""sku"":""BOBCP5Y"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19222,""attribute"":""1 KG"",""sku"":""BOBCP1K"",""cost_price"":0,""price"":768,""wholesale_price"":0}]"
BOBZ2150FC,"Zipper Bag FC",0.00,159.50,0.00,0,,,,,,,5,pcs,active,0.72,0.00,0.00,,"[{""id"":19823,""attribute"":""Orange"",""sku"":""BOBZ2150FCO"",""cost_price"":0,""price"":174,""wholesale_price"":0},{""id"":19822,""attribute"":""White"",""sku"":""BOBZ2150FCW"",""cost_price"":0,""price"":174,""wholesale_price"":0},{""id"":19821,""attribute"":""Pink"",""sku"":""BOBZ2150FCP"",""cost_price"":0,""price"":236,""wholesale_price"":0}]"
BOCAM,"Birthday Candle Mini",42.00,38.50,0.00,0,,,,,,,5,pcs,inactive,0.16,0.00,0.00,,[]
BOCLC0698,"Birthday Letter Candle 0698",174.72,160.16,0.00,0,,,,,,,5,pcs,active,0.15,0.00,0.00,,[]
BOCLC1566,"Birthday Letter Candle 0556",216.00,198.00,0.00,0,,,,,,,5,pcs,active,0.17,0.00,0.00,,[]
BOCMC1202,"Birthday Music Candle 1202",270.00,247.50,0.00,0,,,,,,,5,pcs,inactive,0.27,0.00,0.00,,[]
BOCMC4015,"Birthday Music Candle 4015",336.00,308.00,0.00,0,,,,,,,5,pcs,inactive,0.56,0.00,0.00,,[]
BOCPC6694,"Party Candle 6694",174.00,159.50,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
BOSB40,"Scrap Book 40 Pgs",228.00,209.00,0.00,0,,,,,,,5,pcs,inactive,0.56,0.00,0.00,,[]
BOSB80,"Scrap Book 80 Pgs",348.00,319.00,0.00,0,,,,,,,5,pcs,inactive,0.4,0.00,0.00,,[]
BPB10DO,"Dot Balloon 12 10Pcs",192.00,176.00,0.00,0,,,,,,,5,pcs,active,0.17,0.00,0.00,,[]
BPB12,"Balloon No 12 100Pcs",816.00,748.00,0.00,0,,,,,,,5,pcs,active,0.54,0.00,0.00,,[]
BPB20,"9 Assorted Balloon 20Pcs",192.00,176.00,0.00,0,,,,,,,5,pcs,active,0.3,0.00,0.00,,[]
BPBF5025,"Birthday Foil Balloon",456.00,418.00,0.00,0,,,,,,,5,pcs,active,0.53,0.00,0.00,,[]
BPBHR10,"Heart Balloon Red 10Pcs",138.00,126.50,0.00,0,,,,,,,5,pcs,active,0.19,0.00,0.00,,[]
BPBP7,"Birthday Balloon 7Pcs",0.00,308.00,0.00,0,,,,,,,5,pcs,active,0.45,0.00,0.00,,"[{""id"":19759,""attribute"":""Gold"",""sku"":""BPBP7"",""cost_price"":0,""price"":336,""wholesale_price"":0},{""id"":19758,""attribute"":""Pink"",""sku"":""BPBP7"",""cost_price"":0,""price"":380,""wholesale_price"":0}]"
CLC2023,"Modeling Clay 6 Colour 2023",264.00,242.00,0.00,0,,,,,,,5,pcs,active,0.34,0.00,0.00,,[]
CLCSA,"Modeling Sand Clay 300G",318.00,291.50,0.00,0,,,,,,,5,pcs,inactive,0.56,0.00,0.00,,[]
CLMPAS10,"Plastilina Clay 10 Colours",234.00,214.50,0.00,0,,,,,,,5,pcs,active,0.47,0.00,0.00,,[]
CLSL329,"Slime 329",228.00,209.00,0.00,0,,,,,,,5,pcs,inactive,0.47,0.00,0.00,,[]
CLSL330,"Slime 330",228.00,209.00,0.00,0,,,,,,,5,pcs,inactive,0.39,0.00,0.00,,[]
CLSL331,"Slime 331",228.00,209.00,0.00,0,,,,,,,5,pcs,active,0.11,0.00,0.00,,[]
CLSL332,"Slime 332",228.00,209.00,0.00,0,,,,,,,5,pcs,active,0.44,0.00,0.00,,[]
CLSL333,"Slime 333 12 Pcs",528.00,484.00,0.00,0,,,,,,,5,pcs,active,0.47,0.00,0.00,,[]
CLSL335,"Slime 335",378.00,346.50,0.00,0,,,,,,,5,pcs,inactive,0.54,0.00,0.00,,[]
CTF2,"Form Tape 2 Inch",168.00,154.00,0.00,0,,,,,,,5,pcs,active,0.08,0.00,0.00,,[]
CTG60,"Glitter Tape 60Pcs",1260.00,1.00,0.00,0,,,,,,,5,pcs,active,0.56,0.00,0.00,,[]
CTGT,"Glue Tack",405.00,371.25,0.00,0,,,,,,,5,pcs,inactive,0.12,0.00,0.00,,[]
CTM1|2,"Mounting Tape 1/2'",101.54,93.08,0.00,0,,,,,,,5,pcs,active,0.06,0.00,0.00,,[]
DCGGL,"Glue Gun Large",600.00,550.00,0.00,0,,,,,,,5,pcs,inactive,0.34,0.00,0.00,,[]
DCGGS,"Glue Gun Stick 1000G",1422.00,1.00,0.00,0,,,,,,,5,pcs,inactive,0.29,0.00,0.00,,[]
DCPQ,"Paper Quiling",277.20,254.10,0.00,0,,,,,,,5,pcs,inactive,0.26,0.00,0.00,,[]
ERBD36,"Desighn Eraser Drum 36Pcs",510.00,467.50,0.00,0,,,,,,,5,pcs,inactive,0.07,0.00,0.00,,[]
ERDJ100,"Doms Eraser Jar 3438 100Pcs",1800.00,1.00,0.00,0,,,,,,,5,pcs,active,0.08,0.00,0.00,,[]
ERDR1711,"Rocket Erazer",49.50,45.38,0.00,0,,,,,,,5,pcs,active,0.4,0.00,0.00,,[]
ERDT,"Touch Eraser Pen 24Pcs",1656.00,1.00,0.00,0,,,,,,,5,pcs,active,0.15,0.00,0.00,,[]
ERNJD,"Doms Erazer Jar 60Pcs",2235.60,2.00,0.00,0,,,,,,,5,pcs,active,0.59,0.00,0.00,,[]
ERNM30,"Master Erazer 30Pcs",1032.00,946.00,0.00,0,,,,,,,5,pcs,active,0.44,0.00,0.00,,[]
ERNM60,"Master Erazer 60Pcs",1032.00,946.00,0.00,0,,,,,,,5,pcs,active,0.31,0.00,0.00,,[]
ERNST20,"Stedtler Eraser 20Pcs",885.00,811.25,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
ERNST30,"Stedtler Eraser 30Pcs",885.00,811.25,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
FCBA4,"Clip Board Plastic A4",300.00,275.00,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
FFL18,"File Lase 18 Inch",432.00,396.00,0.00,0,,,,,,,5,pcs,inactive,0.3,0.00,0.00,,[]
FOFCF802F,"Campus File FC 802F",0.00,535.70,0.00,0,,,,,,,5,pcs,active,0.34,0.00,0.00,,"[{""id"":19988,""attribute"":""Light Blue"",""sku"":""FOFCF802F"",""cost_price"":0,""price"":584.4,""wholesale_price"":0},{""id"":19987,""attribute"":""Pink"",""sku"":""FOFCF802F"",""cost_price"":0,""price"":584.4,""wholesale_price"":0},{""id"":19986,""attribute"":""Blue"",""sku"":""FOFCF802F"",""cost_price"":0,""price"":660,""wholesale_price"":0}]"
FOFF4,"4 Hole File With Lase",168.00,154.00,0.00,0,,,,,,,5,pcs,inactive,0.35,0.00,0.00,,[]
FOFTF,"Tick File",0.00,239.80,0.00,0,,,,,,,5,pcs,active,0.39,0.00,0.00,,"[{""id"":19818,""attribute"":""Red"",""sku"":""FOFTFR"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19817,""attribute"":""Orange"",""sku"":""FOFTFO"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19816,""attribute"":""Green"",""sku"":""FOFTFG"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19815,""attribute"":""Pink"",""sku"":""FOFTFP"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19814,""attribute"":""Blue"",""sku"":""FOFTFB"",""cost_price"":0,""price"":102,""wholesale_price"":0},{""id"":19813,""attribute"":""Black"",""sku"":""FOFTFBL"",""cost_price"":0,""price"":295,""wholesale_price"":0}]"
FPFMIX,"Paper File Cover Mix 100Pcs",1436.40,1.00,0.00,0,,,,,,,5,pcs,active,1.49,0.00,0.00,,[]
FPF,"Paper File Cover 100Pcs",1436.40,1.00,0.00,0,,,,,,,5,pcs,active,1.26,0.00,0.00,,[]
FRFA4BL,"Two Ring File A4",396.00,363.00,0.00,0,,,,,,,5,pcs,active,0.36,0.00,0.00,,[]
GISS18101,"Stationery Set 18101",282.00,258.50,0.00,0,,,,,,,5,pcs,inactive,0.27,0.00,0.00,,[]
GISS6605,"Stationery Set 6605",282.00,258.50,0.00,0,,,,,,,5,pcs,active,0.3,0.00,0.00,,[]
GISS6608,"Stationery Set 6608",282.00,258.50,0.00,0,,,,,,,5,pcs,active,0.15,0.00,0.00,,[]
HL4,"Highlighter 4pcs",354.00,324.50,0.00,0,,,,,,,5,pcs,active,0.02,0.00,0.00,,[]
HL5,"Highlighter Pen Set 5Pcs",522.00,478.50,0.00,0,,,,,,,5,pcs,active,0.06,0.00,0.00,,[]
HL6,"Highlighter 6pcs",516.00,473.00,0.00,0,,,,,,,5,pcs,active,0.05,0.00,0.00,,[]
HL6D,"Highlighter DIY 6 Pcs",522.00,478.50,0.00,0,,,,,,,5,pcs,active,0.07,0.00,0.00,,[]
HL6G,"Highlighter Gxin 6Pcs",588.00,539.00,0.00,0,,,,,,,5,pcs,active,0.04,0.00,0.00,,[]
HL959,"Highlighter 959 6Pcs",532.50,488.13,0.00,0,,,,,,,5,pcs,active,0.06,0.00,0.00,,[]
HLSY,"Artistic Highlighter",108.00,99.00,0.00,0,,,,,,,5,pcs,active,0.09,0.00,0.00,,[]
KLBB24,"Building Block 24Pcs",180.00,165.00,0.00,0,,,,,,,5,pcs,active,0.53,0.00,0.00,,[]
KLBB40,"Building Block 40Pcs",240.00,220.00,0.00,0,,,,,,,5,pcs,inactive,0.24,0.00,0.00,,[]
KLCLL,"Kids Lerning Clock Large",183.60,168.30,0.00,0,,,,,,,5,pcs,active,0.57,0.00,0.00,,[]
KLCLS,"Kids Lerning Clock Small",165.00,151.25,0.00,0,,,,,,,5,pcs,active,0.6,0.00,0.00,,[]
KLGSRS,"Skipping Rope Small",168.00,154.00,0.00,0,,,,,,,5,pcs,inactive,0.57,0.00,0.00,,[]
KLGSRSP,"Skipping Rope Sponge",222.00,203.50,0.00,0,,,,,,,5,pcs,inactive,0.26,0.00,0.00,,[]
KLISC,"Ice Stick Pack Colour",132.00,121.00,0.00,0,,,,,,,5,pcs,inactive,0.59,0.00,0.00,,[]
KLISW,"Ice Stick Pack White",132.00,121.00,0.00,0,,,,,,,5,pcs,inactive,0.4,0.00,0.00,,[]
KLLBN,"Letter Bag Numbers",138.00,126.50,0.00,0,,,,,,,5,pcs,active,1.03,0.00,0.00,,[]
KLLBWA,"Wooden Number Bag",369.60,338.80,0.00,0,,,,,,,5,pcs,active,0.61,0.00,0.00,,[]
KLLBWN,"Wooden Alphabat Bag",600.00,550.00,0.00,0,,,,,,,5,pcs,active,0.8,0.00,0.00,,[]
KLLCS,"Alphabet Card Sinhala",300.00,275.00,0.00,0,,,,,,,5,pcs,inactive,0.59,0.00,0.00,,[]
KLMC357,"Magic Cube 357",4200.00,3.00,0.00,0,,,,,,,5,pcs,active,0.31,0.00,0.00,,[]
KLMCP,"Magic Cube Pyramid",607.50,556.88,0.00,0,,,,,,,5,pcs,active,0.53,0.00,0.00,,[]
KLMGS,"Magnet Set Small",397.80,364.65,0.00,0,,,,,,,5,pcs,active,0.36,0.00,0.00,,[]
KLMGSM,"Magnet Set Box Mini",258.00,236.50,0.00,0,,,,,,,5,pcs,active,0.25,0.00,0.00,,[]
KLPCB,"Painting Book With Water Colour",200.00,182.60,0.00,0,,,,,,,5,pcs,active,0.74,0.00,0.00,,[]
KLPCB3+,"Painting Book 3+",246.00,227.70,0.00,0,,,,,,,5,pcs,active,0.76,0.00,0.00,,[]
KLPCEPL,"Embosed Painting Card With Platignum",162.00,148.50,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
KLPCPL,"Painting Card With Platignum",88.00,80.30,0.00,0,,,,,,,5,pcs,active,0.65,0.00,0.00,,[]
KLPCWC_Duplicate,"Painting Card With Wc Cup",120.00,110.00,0.00,0,,,,,,,5,pcs,active,0.49,0.00,0.00,,[]
KLPCWC2,"Water Colour Painting Card 2Pcs",180.00,165.00,0.00,0,,,,,,,5,pcs,active,0.13,0.00,0.00,,[]
KLSBL,"Scrach Book Large",262.00,239.80,0.00,0,,,,,,,5,pcs,active,0.64,0.00,0.00,,[]
KLSBS,"Scrach Book Small",162.00,148.50,0.00,0,,,,,,,5,pcs,active,0.5,0.00,0.00,,[]
KLSH24,"Shapes 24Pcs",90.00,82.50,0.00,0,,,,,,,5,pcs,active,0.18,0.00,0.00,,[]
KTM,"Key Tag Mix 12Pcs",720.00,660.00,0.00,0,,,,,,,5,pcs,active,0.12,0.00,0.00,,[]
LB3317,"Lunch Box",691.20,633.60,0.00,0,,,,,,,5,pcs,active,0.27,0.00,0.00,,[]
LB3318,"Lunch Box",354.00,324.50,0.00,0,,,,,,,5,pcs,active,0.3,0.00,0.00,,[]
LB3319,"Lunch Box",354.00,324.50,0.00,0,,,,,,,5,pcs,active,0.42,0.00,0.00,,[]
LB3320,"Lunch Box",661.20,606.10,0.00,0,,,,,,,5,pcs,active,0.37,0.00,0.00,,[]
LB3321,"Lunch Box",691.20,633.60,0.00,0,,,,,,,5,pcs,active,0.28,0.00,0.00,,[]
LB3323,"Lunch Box",415.20,380.60,0.00,0,,,,,,,5,pcs,active,0.51,0.00,0.00,,[]
LB3324,"Lunch Box",691.20,633.60,0.00,0,,,,,,,5,pcs,active,0.58,0.00,0.00,,[]
LB33-25,"Lunch Box",460.80,422.40,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
LB3326,"Lunch Box",722.40,662.20,0.00,0,,,,,,,5,pcs,active,0.36,0.00,0.00,,[]
LB335,"Lunch Box",661.20,606.10,0.00,0,,,,,,,5,pcs,active,0.73,0.00,0.00,,[]
LB3377,"Lunch Box (33-77)",738.00,676.50,0.00,0,,,,,,,5,pcs,active,0.58,0.00,0.00,,[]
LB3378,"Lunch Box (33-78)",706.80,647.90,0.00,0,,,,,,,5,pcs,active,0.4,0.00,0.00,,[]
LB3379,"Lunch Box (33-79)",553.20,507.10,0.00,0,,,,,,,5,pcs,active,0.37,0.00,0.00,,[]
LB3520,"Steel Lunch Box 3520",1656.00,1.00,0.00,0,,,,,,,5,pcs,active,0.38,0.00,0.00,,[]
LB6713,"Lunch Box 6713",873.60,800.80,0.00,0,,,,,,,5,pcs,active,0.47,0.00,0.00,,[]
LB6714,"Lunch Box 6714",833.28,763.84,0.00,0,,,,,,,5,pcs,active,0.52,0.00,0.00,,[]
LB6717,"Lunch Box 6717",940.80,862.40,0.00,0,,,,,,,5,pcs,active,0.49,0.00,0.00,,[]
LB6718,"Lunch Box 6718",873.60,800.80,0.00,0,,,,,,,5,pcs,active,0.68,0.00,0.00,,[]
LB6815,"Lunch Box 6815",786.00,720.50,0.00,0,,,,,,,5,pcs,active,0.43,0.00,0.00,,[]
LBLHE37,"Lunch Box Hesal 37",300.00,275.00,0.00,0,,,,,,,5,pcs,active,0.41,0.00,0.00,,[]
LBLHE42,"Lunch Box Hesal 42",258.00,236.50,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
LBLMF,"Lunch Box Mf",300.00,275.00,0.00,0,,,,,,,5,pcs,active,0.51,0.00,0.00,,[]
LBLMIN118,"Lunch Box Minwin 001-18",408.00,374.00,0.00,0,,,,,,,5,pcs,active,0.3,0.00,0.00,,[]
LBLMIN818,"Lunch Box Minwin 008-18",450.00,412.50,0.00,0,,,,,,,5,pcs,active,0.51,0.00,0.00,,[]
LBLRBK,"Lunch Box Rainbow King",384.00,352.00,0.00,0,,,,,,,5,pcs,active,0.27,0.00,0.00,,[]
LMBBCB50,"Binding Back Cover Blue 50 Sheets",1740.00,1.00,0.00,0,,,,,,,5,pcs,active,0.18,0.00,0.00,,[]
LMBBCBL50,"Binding Back Cover Black 50 Sheets",1740.00,1.00,0.00,0,,,,,,,5,pcs,active,0.53,0.00,0.00,,[]
LMBFC150,"Binding Front Cover Mic 100 Sheets",1740.00,1.00,0.00,0,,,,,,,5,pcs,active,0.36,0.00,0.00,,[]
LMFIDC,"Id Clip Plastic",16.50,15.13,0.00,0,,,,,,,5,pcs,active,0.24,0.00,0.00,,[]
LMLM,"Laminating Machine",20400.00,18.00,0.00,0,,,,,,,5,pcs,active,0.5,0.00,0.00,,[]
LMNTP,"Name Tag Plastic 100Pcs",1560.00,1.00,0.00,0,,,,,,,5,pcs,active,0.23,0.00,0.00,,[]
LMNTS,"Name Tag Steel 100Pcs",1560.00,1.00,0.00,0,,,,,,,5,pcs,active,0.3,0.00,0.00,,[]
LMOFID,"Id Code",56.70,51.98,0.00,0,,,,,,,5,pcs,inactive,0.26,0.00,0.00,,[]
